time,ax,ay,az,aT
1.1520,-0.0035,-1.2128,1.0094,1.578
1.1530,-0.0035,-1.2128,1.0094,1.578
1.1650,-1.4610,-1.3219,1.8533,2.705
1.1650,-1.4610,-1.3219,1.8533,2.705
1.1830,-2.1931,-1.3095,2.1158,3.317
1.1840,-2.4286,-1.2939,2.0641,3.440
1.1840,-2.4286,-1.2939,2.0641,3.440
1.1980,-2.4516,-1.1205,1.2343,2.965
1.1980,-2.2605,-0.9940,0.9369,2.641
1.1990,-2.2605,-0.9940,0.9369,2.641
1.2150,-1.2797,-0.5853,0.2320,1.426
1.2150,-1.2797,-0.5853,0.2320,1.426
1.2160,-1.2797,-0.5853,0.2320,1.426
1.2310,-0.0814,-0.3244,0.0687,0.341
1.2320,-0.0814,-0.3244,0.0687,0.341
1.2320,-0.0814,-0.3244,0.0687,0.341
1.2490,0.4178,-0.1778,-0.0052,0.454
1.2490,0.4178,-0.1778,-0.0052,0.454
1.2500,0.4178,-0.1778,-0.0052,0.454
1.2500,0.5079,-0.1568,-0.0447,0.533
1.2640,0.6173,-0.1190,-0.1420,0.645
1.2640,0.6173,-0.1190,-0.1420,0.645
1.2820,0.6113,0.0273,-0.3805,0.721
1.2820,0.6113,0.0273,-0.3805,0.721
1.2830,0.6113,0.0273,-0.3805,0.721
1.3030,0.4107,0.1780,-0.3975,0.599
1.3050,0.3437,0.2127,-0.3653,0.545
1.3050,0.3437,0.2127,-0.3653,0.545
1.3060,0.3437,0.2127,-0.3653,0.545
1.3230,0.3042,0.2368,-0.2557,0.463
1.3230,0.3042,0.2368,-0.2557,0.463
1.3240,0.3042,0.2368,-0.2557,0.463
1.3240,0.3042,0.2368,-0.2557,0.463
1.3310,0.3567,0.2562,-0.2230,0.493
1.3470,0.6824,0.3898,-0.0598,0.788
1.3470,0.6824,0.3898,-0.0598,0.788
1.3470,0.6824,0.3898,-0.0598,0.788
1.3480,0.6824,0.3898,-0.0598,0.788
1.3650,0.9103,0.5453,-0.2339,1.087
1.3650,0.9528,0.6229,-0.3669,1.196
1.3810,0.8155,0.8438,-0.5756,1.307
1.3810,0.8155,0.8438,-0.5756,1.307
1.3820,0.8155,0.8438,-0.5756,1.307
1.3820,0.8155,0.8438,-0.5756,1.307
1.4010,0.4461,0.9645,-0.6149,1.228
1.4040,0.4461,0.9645,-0.6149,1.228
1.4050,0.4063,0.9803,-0.5888,1.214
1.4050,0.4063,0.9803,-0.5888,1.214
1.4150,0.3927,1.0410,-0.5037,1.221
1.4160,0.3927,1.0410,-0.5037,1.221
1.4310,0.4159,1.0222,-0.3465,1.157
1.4320,0.4159,1.0222,-0.3465,1.157
1.4320,0.4159,1.0222,-0.3465,1.157
1.4320,0.4159,1.0222,-0.3465,1.157
1.4480,0.3494,0.9966,-0.2363,1.082
1.4480,0.3494,0.9966,-0.2363,1.082
1.4630,0.1564,0.8480,-0.2177,0.889
1.4640,0.1564,0.8480,-0.2177,0.889
1.4640,0.1564,0.8480,-0.2177,0.889
1.4640,0.1564,0.8480,-0.2177,0.889
1.4790,-0.0133,0.5624,-0.2007,0.597
1.4800,-0.0133,0.5624,-0.2007,0.597
1.5010,0.0988,0.1929,-0.1997,0.295
1.5030,0.0988,0.1929,-0.1997,0.295
1.5030,0.0988,0.1929,-0.1997,0.295
1.5030,0.0988,0.1929,-0.1997,0.295
1.5040,0.0988,0.1929,-0.1997,0.295
1.5130,0.2066,0.1009,-0.1276,0.263
1.5130,0.2066,0.1009,-0.1276,0.263
1.5310,0.4794,0.1790,0.0707,0.517
1.5320,0.4794,0.1790,0.0707,0.517
1.5320,0.4794,0.1790,0.0707,0.517
1.5330,0.4794,0.1790,0.0707,0.517
1.5470,0.5929,0.2288,0.1400,0.651
1.5470,0.5929,0.2288,0.1400,0.651
1.5650,0.9008,0.4216,-0.0259,0.995
