time,ax,ay,az,aT
2.6300,-6.4509,-0.5824,9.1244,11.190
2.6490,-1.1212,2.8222,1.8712,3.567
2.6550,-1.4314,3.0402,3.1208,4.586
2.6670,1.2355,4.5173,1.9695,5.081
2.6670,1.2355,4.5173,1.9695,5.081
2.6800,5.2961,6.7971,0.0439,8.617
2.6970,5.2645,7.1052,-0.4155,8.853
2.7130,0.1438,3.8240,-3.8412,5.422
2.7140,-4.0547,1.8099,-2.0109,4.874
2.7300,-6.4628,-0.1318,-1.0415,6.547
2.7490,-1.3619,3.6552,5.0913,6.414
2.7490,-1.3619,3.6552,5.0913,6.414
2.7640,-1.5082,3.1700,4.8092,5.954
2.7650,-1.5082,3.1700,4.8092,5.954
2.7820,-1.6550,3.2717,3.6778,5.193
2.7980,0.2709,-0.1406,2.4528,2.472
2.7980,0.2709,-0.1406,2.4528,2.472
2.8160,3.8199,2.2664,1.1377,4.585
2.8170,3.8199,2.2664,1.1377,4.585
2.8320,8.0696,5.1239,0.2347,9.562
2.8490,4.2640,3.4350,-1.3958,5.651
2.8490,4.2640,3.4350,-1.3958,5.651
2.8680,1.5954,-0.5384,-1.7238,2.410
2.8690,1.5954,-0.5384,-1.7238,2.410
2.8820,-2.0061,-2.5027,-0.2968,3.221
2.8980,-0.8116,-1.6733,-0.7188,1.994
2.9130,4.1084,-2.9191,-1.9565,5.406
2.9140,4.1084,-2.9191,-1.9565,5.406
2.9300,7.0449,-2.9760,-1.9677,7.897
2.9480,7.9765,-3.6228,-1.6281,8.911
2.9490,7.6345,-3.7846,-2.0137,8.756
2.9640,6.7332,-3.8610,-2.5600,8.173
2.9650,6.3327,-3.6869,-2.9660,7.905
2.9800,4.1993,-2.7347,-1.5697,5.251
2.9970,0.1256,-3.4697,0.7721,3.557
2.9970,-1.0376,-3.8518,1.6630,4.322
3.0140,-5.8239,-5.0201,6.8707,10.311
3.0300,-8.3216,-5.6284,6.8685,12.170
3.0310,-8.6521,-5.1991,5.3057,11.404
3.0540,-8.6084,-4.8107,-2.2432,10.113
3.0560,-8.6084,-4.8107,-2.2432,10.113
3.0740,-4.3136,-3.6589,-3.8870,6.863
3.0750,-2.8872,-3.1559,-4.5801,6.267
3.0810,-1.6718,-1.7806,-4.4967,5.117
3.0970,-1.4049,-0.4377,0.6699,1.617
3.1140,-5.1151,-1.8034,-0.9793,5.511
3.1150,-5.7193,-1.5861,-0.9888,6.017
3.1310,-6.6074,0.1861,-1.4821,6.774
3.1500,-3.7424,-0.5311,2.4161,4.486
3.1510,-3.7424,-0.5311,2.4161,4.486
3.1700,2.8897,-0.0033,3.3136,4.397
3.1700,2.8897,-0.0033,3.3136,4.397
3.1800,5.9892,-1.7285,4.6340,7.767
3.1990,4.3514,0.0021,-0.1434,4.354
3.1990,4.0045,2.1188,-3.1511,5.519
3.2150,-0.9007,2.0331,-0.5399,2.288
3.2310,0.3748,0.0860,2.0604,2.096
3.2310,0.3748,0.0860,2.0604,2.096
3.2500,3.2342,-0.7740,2.2025,3.989
3.2510,3.2342,-0.7740,2.2025,3.989
3.2650,0.3902,-1.1914,0.4045,1.317
3.2810,-5.8850,0.8161,-6.7559,8.997
3.2810,-5.8850,0.8161,-6.7559,8.997
3.2970,-5.8188,-1.8672,-8.2189,10.242
3.3140,-1.3414,0.8247,-9.4135,9.544
3.3140,-1.3414,0.8247,-9.4135,9.544
3.3300,-6.0232,-0.1039,-12.6666,14.026
3.3480,-5.9126,0.3858,-7.3249,9.421
3.3540,-9.9819,-3.0547,-0.8998,10.478
3.3640,-6.1308,-3.1930,4.3116,8.147
3.3810,-8.1433,-6.4901,5.5272,11.789
3.3820,-8.1433,-6.4901,5.5272,11.789
3.3980,-9.9001,1.4380,12.6049,16.092
3.3990,-9.9001,1.4380,12.6049,16.092
3.4160,20.1076,12.6040,4.2008,24.100
3.4320,-3.3105,-3.3915,-4.8218,6.761
3.4320,-3.3105,-3.3915,-4.8218,6.761
3.4500,-1.6368,-1.8072,-7.7281,8.104
3.4640,-1.6368,-1.8072,-7.7281,8.104
3.4640,-1.6368,-1.8072,-7.7281,8.104
3.4830,1.7865,0.0308,-5.9980,6.258
3.4840,2.5957,0.2772,-4.9666,5.611
3.4990,5.9488,0.5401,1.1479,6.083
3.5140,6.7774,-1.3592,6.4642,9.464
3.5320,4.7351,-1.9271,8.4330,9.862
3.5320,3.5855,-2.5125,7.5676,8.743
3.5570,-0.7788,-1.5107,4.7763,5.070
3.5590,-0.9822,-0.8978,4.1583,4.366
3.5670,-0.6314,0.7338,3.3218,3.460
3.5800,0.6593,2.6305,4.0361,4.863
3.5980,-0.0411,1.3463,4.8270,5.011
3.5980,-0.0411,1.3463,4.8270,5.011
3.6130,1.7217,-1.0826,4.8381,5.248
3.6140,1.7217,-1.0826,4.8381,5.248
3.6300,1.4868,-2.6510,4.6494,5.555
3.6480,0.1350,-0.1274,6.5535,6.556
3.6480,0.1350,-0.1274,6.5535,6.556
3.6650,0.5122,1.2467,7.8972,8.011
3.6660,0.5122,1.2467,7.8972,8.011
3.6800,0.0843,0.2785,6.9107,6.917
3.6960,-1.4236,-2.2136,3.3992,4.299
3.6970,-1.4236,-2.2136,3.3992,4.299
3.7140,-1.1432,-1.7888,-0.8025,2.270
3.7320,-0.0756,-1.1362,-4.4279,4.572
3.7320,-0.0756,-1.1362,-4.4279,4.572
3.7510,-0.6610,-4.4430,-4.3843,6.277
3.7520,-0.6610,-4.4430,-4.3843,6.277
3.7680,-0.5254,-4.7957,-3.3639,5.881
3.7690,-0.5254,-4.7957,-3.3639,5.881
3.7820,-0.8966,-3.6049,-2.5588,4.511
3.7970,-2.6600,-1.5543,-2.2901,3.839
3.8150,-1.9937,-0.3192,-3.4236,3.975
3.8150,-1.9937,-0.3192,-3.4236,3.975
3.8350,-1.1877,0.4709,-3.3884,3.621
3.8350,-1.1877,0.4709,-3.3884,3.621
3.8500,1.5482,1.4110,-3.2717,3.885
3.8700,0.7390,-0.7201,5.0497,5.154
3.8700,0.7390,-0.7201,5.0497,5.154
3.8810,-1.0082,-0.3778,1.8946,2.179
3.8970,2.0765,-0.7168,-2.6121,3.413
3.8980,2.0765,-0.7168,-2.6121,3.413
3.9140,1.3935,0.6127,-5.0745,5.298
3.9300,1.5850,3.0261,-3.4083,4.826
3.9310,1.4294,3.6353,-3.6104,5.319
3.9470,3.0086,4.1921,-3.6142,6.300
3.9470,3.0086,4.1921,-3.6142,6.300
3.9670,2.1092,3.0752,-3.8851,5.385
3.9670,2.1092,3.0752,-3.8851,5.385
3.9810,3.0049,3.6972,-4.7512,6.728
3.9970,2.2065,2.6737,-4.4543,5.644
3.9980,1.4886,2.2973,-3.9152,4.777
4.0140,-0.1055,1.1902,-3.3591,3.565
4.0310,-1.6753,1.6315,-2.3367,3.306
4.0310,-1.6753,1.6315,-2.3367,3.306
4.0490,-1.6753,1.6315,-2.3367,3.306
4.0490,-1.6753,1.6315,-2.3367,3.306
4.0640,-1.6753,1.6315,-2.3367,3.306
4.0810,-2.1850,-0.2229,2.9436,3.673
4.0810,-2.1850,-0.2229,2.9436,3.673
4.0980,-3.1928,-1.8566,2.8001,4.635
4.1140,-3.9026,-3.5426,5.5779,7.674
4.1140,-3.9026,-3.5426,5.5779,7.674
4.1310,-4.6329,-5.4132,6.5895,9.705
4.1510,-3.3696,-5.0565,7.2506,9.460
4.1510,-3.3696,-5.0565,7.2506,9.460
4.1660,-4.4081,-6.0731,5.9467,9.575
4.1670,-5.2614,-7.0330,5.4836,10.354
4.1810,-5.7437,-9.1483,2.2050,11.025
4.1980,-5.3141,-8.6135,-4.1193,10.927
4.1980,-5.3141,-8.6135,-4.1193,10.927
4.2160,1.9212,0.0380,-4.3616,4.766
4.2320,5.8720,2.5683,-5.8186,8.656
4.2320,5.8720,2.5683,-5.8186,8.656
4.2490,10.6671,5.4168,-2.8475,12.298
4.2500,10.6671,5.4168,-2.8475,12.298
4.2640,13.2200,6.9901,-0.3093,14.957
4.2810,11.4957,7.1626,1.2714,13.604
4.2810,11.4957,7.1626,1.2714,13.604
4.2990,3.0137,2.3669,-4.9238,6.239
4.3300,-6.7768,-3.8429,-5.7342,9.673
4.3310,-7.2302,-3.8152,-5.0704,9.620
4.3320,-7.2302,-3.8152,-5.0704,9.620
4.3350,-7.2718,-3.5017,-4.3203,9.155
4.3510,-6.1435,-2.2318,-2.0938,6.864
4.3650,-5.6261,-1.9799,-0.4779,5.983
4.3810,-3.8404,-0.5803,0.6792,3.943
4.3810,-3.8404,-0.5803,0.6792,3.943
4.3980,-1.0440,1.6510,0.3357,1.982
4.3990,-1.0440,1.6510,0.3357,1.982
4.4150,-0.0503,2.3453,-1.0340,2.564
4.4320,-0.7454,2.2569,-2.7729,3.652
4.4330,-0.7454,2.2569,-2.7729,3.652
4.4490,-1.8845,2.0225,-3.0137,4.090
4.4660,-1.5465,2.7108,-1.8103,3.608
4.4660,-1.5465,2.7108,-1.8103,3.608
4.4820,-1.6869,2.5285,-0.6509,3.108
4.4980,-2.4417,1.3108,0.0397,2.772
4.4990,-2.4417,1.3108,0.0397,2.772
4.5150,-1.3054,1.3560,-0.5162,1.952
4.5150,-1.3054,1.3560,-0.5162,1.952
4.5320,1.1394,3.2170,-1.4981,3.727
4.5490,0.1142,4.9097,-2.3201,5.432
4.5490,0.1142,4.9097,-2.3201,5.432
4.5650,-0.0857,3.8611,-1.4658,4.131
4.5650,-0.0857,3.8611,-1.4658,4.131
4.5820,1.9495,0.9645,0.4271,2.217
4.5980,1.1904,-1.4598,-0.6624,1.997
4.5990,1.1904,-1.4598,-0.6624,1.997
4.6160,0.8665,-4.0976,0.9070,4.285
4.6320,-0.1435,-4.1786,3.8706,5.698
4.6330,-0.6799,-3.0841,4.3387,5.366
4.6490,-1.8769,0.7392,4.2180,4.676
4.6500,-1.8769,0.7392,4.2180,4.676
4.6680,-1.3544,0.6829,3.8169,4.107
4.6940,-2.0085,-1.6864,0.9858,2.802
4.6950,-2.0085,-1.6864,0.9858,2.802
4.6950,-2.0085,-1.6864,0.9858,2.802
4.7030,-2.3388,-2.2551,-0.9740,3.392
4.7160,0.0588,-1.6980,-1.7326,2.427
4.7330,1.1051,-1.5817,1.6987,2.571
4.7520,-0.7302,-3.2143,3.7079,4.961
4.7520,-0.7302,-3.2143,3.7079,4.961
4.7690,-1.7435,-5.8204,1.1867,6.191
4.7690,-1.7860,-6.8108,-0.3458,7.050
4.7840,-1.7104,-8.5510,-3.9931,9.591
4.7990,-2.3456,-7.3165,-4.5788,8.944
4.7990,-2.3456,-7.3165,-4.5788,8.944
4.8170,1.5657,-4.4447,-1.2884,4.885
4.8330,5.3559,-3.3025,0.7669,6.339
4.8340,5.3559,-3.3025,0.7669,6.339
4.8500,6.3544,-2.7589,1.6598,7.124
4.8680,6.0083,-2.4599,1.6314,6.694
4.8690,5.8135,-2.3320,1.7110,6.493
4.8840,4.9086,-1.5288,0.9321,5.225
4.8850,4.9086,-1.5288,0.9321,5.225
4.9020,3.4809,-0.4540,-0.7976,3.600
4.9160,2.6360,0.4782,-2.9735,4.002
4.9170,2.6360,0.4782,-2.9735,4.002
4.9370,1.6052,-0.1867,-3.5716,3.920
4.9380,1.6052,-0.1867,-3.5716,3.920
4.9580,0.1743,0.3580,-3.3229,3.347
4.9580,0.1743,0.3580,-3.3229,3.347
4.9670,0.2339,0.9584,-3.8138,3.939
4.9830,-0.4323,1.8748,-3.7579,4.222
5.0000,-0.9656,2.8847,-3.3641,4.536
5.0000,-1.0740,3.3415,-3.2701,4.797
5.0160,-0.5726,5.0611,-2.7564,5.791
5.0330,-0.0455,7.4105,-2.7420,7.902
5.0340,-0.0455,7.4105,-2.7420,7.902
5.0500,0.3937,8.1377,-2.4559,8.509
5.0510,0.3937,8.1377,-2.4559,8.509
5.0690,0.3873,7.3990,-1.9708,7.667
5.0890,1.3812,6.9826,-3.6499,7.999
5.0900,1.3812,6.9826,-3.6499,7.999
5.1010,1.9637,6.6901,-4.3921,8.240
5.1020,1.9637,6.6901,-4.3921,8.240
5.1180,2.6326,6.0580,-2.8820,7.207
5.1350,1.9729,5.4740,-1.7759,6.084
5.1510,0.4526,3.6699,0.3508,3.714
5.1520,0.4526,3.6699,0.3508,3.714
5.1720,-4.8203,0.6620,5.6700,7.471
5.1730,-4.8203,0.6620,5.6700,7.471
5.1940,-8.7601,-5.8639,3.1009,10.988
5.1940,-8.7601,-5.8639,3.1009,10.988
5.2000,-8.1969,-6.5804,2.3428,10.769
5.2170,-2.7968,-11.6593,3.8318,12.587
5.2340,1.7693,-13.1673,6.7293,14.893
5.2350,1.7852,-12.5960,6.0335,14.080
5.2510,0.9777,-5.8702,1.8238,6.224
5.2700,2.0560,-1.3696,0.3177,2.491
5.2880,2.8166,-1.2819,-4.6685,5.601
5.2940,4.0073,-0.6109,-4.2884,5.901
5.2940,4.0073,-0.6109,-4.2884,5.901
5.3000,5.0588,0.0920,-3.7603,6.304
5.3160,8.4797,1.3595,1.3155,8.688
5.3170,8.4797,1.3595,1.3155,8.688
5.3340,6.5394,0.5648,3.4919,7.435
5.3530,4.9379,0.9021,-0.1277,5.021
5.3540,4.9379,0.9021,-0.1277,5.021
5.3670,5.2184,2.7188,-3.0968,6.649
5.3840,2.6040,4.6077,-5.1132,7.359
5.3850,1.7918,4.9851,-5.7878,7.846
5.4010,2.2363,4.9052,-7.3867,9.145
5.4010,2.2363,4.9052,-7.3867,9.145
5.4180,2.4567,3.2603,-7.5670,8.598
5.4340,1.4174,0.4338,-4.7659,4.991
5.4350,1.4174,0.4338,-4.7659,4.991
5.4510,0.8496,-0.8073,0.8002,1.419
5.4700,0.0875,2.3582,2.7762,3.644
5.4700,-0.1227,1.8938,1.9362,2.711
5.4870,-1.4948,-1.3028,-2.1576,2.930
5.4880,-1.4948,-1.3028,-2.1576,2.930
5.5010,-0.4604,1.0279,-2.4449,2.692
5.5170,0.4750,2.5328,-4.0455,4.797
5.5180,0.4569,2.6912,-4.5475,5.304
5.5360,-0.3078,4.0815,-4.3122,5.945
5.5540,0.1009,4.7238,-4.4423,6.485
5.5540,0.1009,4.7238,-4.4423,6.485
5.5710,1.1976,3.5097,-4.4729,5.810
5.5720,0.9778,2.3357,-4.1735,4.882
5.5840,0.7018,1.8338,-3.4091,3.934
5.6010,-0.2906,-2.1049,1.8963,2.848
5.6170,-0.2313,-2.8394,5.6002,6.283
5.6180,-0.2313,-2.8394,5.6002,6.283
5.6350,0.8615,-2.4445,1.9170,3.224
5.6510,0.0980,-0.9952,0.4956,1.116
5.6520,0.0980,-0.9952,0.4956,1.116
5.6710,-2.9505,0.4527,0.2366,2.994
5.6720,-3.7419,0.7768,-0.0165,3.822
5.6950,-3.8741,2.1613,-0.6298,4.481
5.6950,-3.8741,2.1613,-0.6298,4.481
5.7010,-3.8969,2.0092,-0.3359,4.397
5.7180,-3.8584,1.2645,1.7884,4.437
5.7340,-5.0872,0.4364,2.9640,5.904
5.7350,-5.0872,0.4364,2.9640,5.904
