time,ax,ay,az,aT
2.1960,0.8842,2.5055,5.4529,6.066
2.2090,0.3097,3.1144,5.1399,6.018
2.2240,-0.8414,4.3228,5.5143,7.057
2.2250,-0.8414,4.3228,5.5143,7.057
2.2410,-2.6862,1.6017,3.1624,4.448
2.2580,-1.6932,4.5688,6.2764,7.946
2.2590,-1.6932,4.5688,6.2764,7.946
2.2740,-0.8048,5.7130,6.6270,8.787
2.2930,0.7724,5.6679,9.6139,11.187
2.2940,0.7724,5.6679,9.6139,11.187
2.3080,0.7339,3.9234,9.3267,10.145
2.3090,0.7339,3.9234,9.3267,10.145
2.3250,-0.6328,0.6496,9.3795,9.423
2.3420,-1.0607,-1.7736,8.6488,8.892
2.3420,-1.0607,-1.7736,8.6488,8.892
2.3580,-1.2314,-4.0711,5.6285,7.055
2.3750,-0.3512,-4.4113,1.7936,4.775
2.3750,-0.3512,-4.4113,1.7936,4.775
2.3930,1.4821,-2.9735,-2.7251,4.297
2.3940,1.4821,-2.9735,-2.7251,4.297
2.4080,3.9782,-2.2980,-4.5449,6.462
2.4250,6.9756,-0.2062,-3.3404,7.737
2.4250,8.1049,0.5580,-2.8867,8.622
2.4410,11.1040,2.5127,-2.4351,11.642
2.4590,11.9709,4.4343,-2.9325,13.098
2.4600,11.7944,4.8643,-2.9444,13.093
2.4750,10.3795,5.3444,-1.8782,11.825
2.4930,5.1578,3.7105,-10.1856,12.005
2.4930,2.6529,3.0119,-11.2877,11.980
2.5090,3.0464,4.6806,-4.5089,7.178
2.5100,3.0464,4.6806,-4.5089,7.178
2.5240,4.7539,7.6459,1.8911,9.200
2.5410,5.4534,6.1733,2.0467,8.488
2.5570,4.5948,6.1001,0.2605,7.641
2.5580,4.5948,6.1001,0.2605,7.641
2.5750,3.7686,5.4641,0.2863,6.644
2.5750,3.7686,5.4641,0.2863,6.644
2.5930,-0.5463,3.6605,-0.0317,3.701
2.6080,-1.3178,3.9189,6.9824,8.115
2.6090,-3.9243,0.7828,3.9667,5.634
2.6250,-7.9861,-1.5602,5.2458,9.681
2.6420,-12.4821,-3.9062,-0.8089,13.104
2.6430,-12.4821,-3.9062,-0.8089,13.104
